# Easting [m] 	 Northing [m] 	 Period [s] 	 Phase velocity [m/s] 	 Differenz [m/s] 	 Anzahl Iterationen
-120	43	5	3094.64	2.66391e-09	10
-120	43	10	3146.65	1.1396e-09	6
-120	43	20	3407.54	1.36424e-12	10
-120	43	40	3665.72	1.14376e-05	7
-120	44	0.1	3045.94	9.85275e-05	22
-120	44	5	3089.77	1.99925e-08	7
-120	44	10	3198.27	2.64887e-05	10
-120	44	20	3476.85	1.36424e-12	7
-120	44	40	3728.54	6.18456e-11	6
-120	45	0.1	2902.36	9.14879e-05	23
-120	45	5	3020.08	2.66482e-10	6
-120	45	10	3239.6	2.03181e-09	10
-120	45	20	3534.6	2.72848e-12	5
-120	45	40	3786.01	8.6402e-12	7
-120	46	0.1	2802.73	8.8347e-05	23
-120	46	5	2970.57	9.8655e-05	9
-120	46	10	3268.63	9.98881e-05	5
-120	46	20	3598.65	1.81899e-12	7
-120	46	40	3835.46	4.54747e-12	7
-120	47	0.1	2958.92	9.73397e-05	24
-120	47	5	3113.59	1.36424e-12	13
-120	47	10	3322.78	1.81899e-12	9
-120	47	20	3620.22	4.54747e-12	7
-120	47	40	3848.01	2.72848e-12	6
-120	48	0.1	3236.14	9.40299e-05	23
-120	48	5	3290.94	3.88878e-05	6
-120	48	10	3348.04	2.09184e-10	7
-120	48	20	3592.74	1.81899e-12	9
-120	48	40	3820.53	1.81899e-12	10
-120	49	0.1	3369.63	5.01143e-05	23
-120	49	5	3368	5.35225e-05	10
-120	49	10	3362.89	2.63753e-11	9
-120	49	20	3559.04	2.27374e-12	6
-120	49	40	3814.25	3.63798e-12	6
-119	38	0.1	3082.11	5.06961e-05	25
-119	38	5	3135.48	5.10227e-10	5
-119	38	10	3228.05	8.07941e-07	10
-119	38	20	3554.04	2.72848e-12	7
-119	38	40	3775.78	1.81899e-12	6
-119	39	0.1	3182.74	9.72399e-05	22
-119	39	5	3184.23	1.0183e-05	13
-119	39	10	3221.85	9.23637e-09	7
-119	39	20	3556.48	5.96701e-05	7
-119	39	40	3758.96	1.18733e-05	7
-119	40	0.1	3195.08	8.94131e-05	23
-119	40	5	3192.08	2.72848e-12	16
-119	40	10	3223.36	8.34789e-08	7
-119	40	20	3536.09	1.36424e-12	9
-119	40	40	3739.66	3.42299e-07	7
-119	41	0.1	3174.33	4.5695e-05	26
-119	41	5	3172.31	3.51247e-09	15
-119	41	10	3208.69	6.59384e-10	7
-119	41	20	3534.67	5.95548e-05	7
-119	41	40	3729.42	5.18161e-05	9
-119	42	0.1	3137.18	7.81216e-05	22
-119	42	5	3139.88	3.3242e-10	15
-119	42	10	3177.25	4.46421e-08	7
-119	42	20	3475.56	1.36424e-12	10
-119	42	40	3688.48	6.36646e-12	10
-119	43	0.1	3105.06	9.78762e-05	23
-119	43	5	3131.42	1.36424e-12	15
-119	43	10	3191.96	4.74301e-10	7
-119	43	20	3459.95	2.27374e-12	9
-119	43	40	3677.73	8.46694e-09	9
-119	44	0.1	3080.75	6.69239e-05	23
-119	44	5	3123.53	1.81899e-12	6
-119	44	10	3219.56	1.98774e-07	10
-119	44	20	3509.11	4.47029e-07	6
-119	44	40	3720.14	5.4979e-10	7
-119	45	0.1	2980.96	5.45217e-05	24
-119	45	5	3066.68	1.81899e-12	7
-119	45	10	3248.79	1.36424e-12	6
-119	45	20	3586.06	1.80353e-09	7
-119	45	40	3796.2	9.09495e-12	10
-119	46	0.1	2959.3	6.12304e-05	24
-119	46	5	3084.38	3.89449e-07	7
-119	46	10	3290.23	1.81899e-12	10
-119	46	20	3623.64	1.81899e-12	6
-119	46	40	3847.58	1.03228e-10	5
-119	47	0.1	3100.83	8.84778e-05	23
-119	47	5	3204.85	3.79851e-05	6
-119	47	10	3343.42	6.83031e-10	6
-119	47	20	3647.33	3.63798e-12	9
-119	47	40	3867.97	1.00044e-11	10
-119	48	0.1	3372.02	7.45559e-05	22
-119	48	5	3365.46	2.04805e-05	12
-119	48	10	3387.49	1.26265e-08	5
-119	48	20	3634.16	4.54747e-12	6
-119	48	40	3852.05	1.81899e-12	5
-119	49	0.1	3381.85	7.40617e-05	20
-119	49	5	3371.8	3.15003e-09	6
-119	49	10	3374.19	1.36424e-12	6
-119	49	20	3573.6	4.27463e-11	6
-119	49	40	3822.51	7.69793e-07	7
-118	38	0.1	3029.63	8.64461e-05	23
-118	38	5	3113.39	4.6748e-10	7
-118	38	10	3229.33	1.6089e-09	10
-118	38	20	3542.54	1.36424e-12	7
-118	38	40	3778.44	1.81899e-12	9
-118	39	0.1	3090.72	5.66388e-05	24
-118	39	5	3136.4	1.68727e-05	7
-118	39	10	3220.37	1.36424e-12	9
-118	39	20	3566.4	4.41687e-08	5
-118	39	40	3776.92	3.63798e-12	7
-118	40	0.1	3117.3	6.77181e-05	23
-118	40	5	3126.94	1.26665e-08	13
-118	40	10	3189.43	2.72848e-12	7
-118	40	20	3577.2	2.27374e-12	6
-118	40	40	3754.42	1.81899e-12	9
-118	41	0.1	3100.35	9.33501e-05	23
-118	41	5	3106.49	3.01926e-05	13
-118	41	10	3164.53	1.26462e-06	5
-118	41	20	3554.58	3.54171e-08	5
-118	41	40	3715.56	1.81899e-12	6
-118	42	0.1	3135.27	6.81083e-05	23
